sample-id	source	Fraction	density_g_ml	dna_conc	avg_16S_g_soil
179_F19	S179	19	1.6700706620000005	0.21998307194279276	215623.95465984932
179_F20	S179	20	1.6263602620000022	0.21152818385530217	202062.1168762443
180_F1	S180	1	1.771697342000003	0.18023204852897257	54695.742330707806
180_F2	S180	2	1.768610295000002	0.24144707748331098	88272.30002463551
180_F3	S180	3	1.7631464950000009	0.6764791752608724	131872.98359138533
180_F4	S180	4	1.7576826950000015	1.9042651566509532	291281.8503
180_F5	S180	5	1.7513173680000023	3.5342903500497744	904653.8449951491
180_F6	S180	6	1.7458535680000011	3.8551064122057404	1916858.2729032568
180_F7	S180	7	1.7392970080000012	4.8391565532980465	3050472.6720943563
180_F8	S180	8	1.7327404480000013	7.888750815	3431436.5159930834
180_F9	S180	9	1.7274678810000026	14.468315711494128	5695656.938450046
180_F10	S180	10	1.7230968410000003	15.173270519806218	7826750.607934333
180_F11	S180	11	1.716540281000002	14.55829170857112	9460015.579838606
180_F12	S180	12	1.7110764810000028	8.994381992879683	8217916.038
180_F13	S180	13	1.7056126810000016	4.229572743516495	5866352.870186284
180_F14	S180	14	1.7001488810000005	0.11241053308516398	1688702.2475709498
180_F15	S180	15	1.6946850810000011	0.1305308594212903	1427219.1739514468
180_F16	S180	16	1.6894125140000025	0.16726635941398618	626962.3348076463
180_F17	S180	17	1.6839487140000031	0.18405333302985086	477612.3508
180_F18	S180	18	1.6773921540000014	0.12326619211890184	239680.9031226935
180_F19	S180	19	1.653351434000001	0.10764927314299684	324374.0118037223
200_F2	S200	2	1.774292647000001	0	2505.1555563763436
200_F1	S200	1	1.7730086540000016	0	2696.473564218785
200_F3	S200	3	1.7655505670000018	0.127235927	7103.675021105427
200_F4	S200	4	1.758994007	0.6887253267556502	37002.52596305593
200_F5	S200	5	1.7535302070000007	2.288754414	297356.95905940066
200_F6	S200	6	1.7469736470000026	3.0133339124495433	1483572.0819426498
200_F7	S200	7	1.7404170870000009	2.4728326255767947	3367785.2158125998
200_F8	S200	8	1.7340517600000016	3.3351172904605737	3755776.5264227404
200_F9	S200	9	1.7285879600000005	7.016351856888526	3814540.8477710034
200_F10	S200	10	1.7231241600000011	16.13894212074021	6082623.693366163
200_F11	S200	11	1.7165675999999994	17.374798986969903	12061787.58
200_F12	S200	12	1.7111038	11.755982268375844	11932847.88
200_F13	S200	13	1.7056400000000007	6.274651390475916	8552074.496216303
200_F14	S200	14	1.699083439999999	0.087454415	4225982.0155510865
200_F15	S200	15	1.6936196399999996	0.11813136355886839	2095792.1787512098
200_F16	S200	16	1.688347073000001	0.12340136750393634	841823.1318063247
200_F17	S200	17	1.6828832730000016	0.19388963656617997	352923.21439834434
200_F18	S200	18	1.6774194730000023	0.099578759	230080.2137
200_F19	S200	19	1.6634048260000007	0.11505511010203102	281881.48793888534
201_F1	S201	1	1.778445135000002	0	3604.6280580592934
201_F2	S201	2	1.7729813350000025	0	5131.365687126927
201_F3	S201	3	1.768610295000002	0.13595364807741275	12205.7574
201_F4	S201	4	1.7611522080000004	0.8842254584694844	60982.77836270784
201_F5	S201	5	1.7545956480000022	2.1958143800000265	468389.71807211236
201_F6	S201	6	1.7480390880000023	2.765836296632616	1641233.4182925567
201_F7	S201	7	1.7414825280000006	2.8486767264121053	2940323.187114103
201_F8	S201	8	1.7349259680000024	4.731702756462685	3334146.5658690236
201_F9	S201	9	1.729462168000003	9.725510036205405	3780189.2670555636
201_F10	S201	10	1.7241896010000008	15.373926210921752	6626742.342143561
201_F11	S201	11	1.7187258010000015	15.981631606148767	11281641.453193301
201_F12	S201	12	1.7132620010000021	9.678381615659793	10583468.13237452
201_F13	S201	13	1.7077982010000028	4.789802115683662	7388407.350181659
201_F14	S201	14	1.701432874	2.24712515	4452994.473
201_F15	S201	15	1.6959690740000006	1.079296773	2107095.5749571403
201_F16	S201	16	1.6894125140000025	0.5948047410761883	799252.6094
201_F17	S201	17	1.6839487140000031	0.3126243612747297	396124.7827
201_F18	S201	18	1.6762993940000008	0.20511340938815434	236200.31094369132
201_F19	S201	19	1.6544441940000016	0.24973601142791124	261567.98420059067
202_F1	S202	1	1.7770518660000008	0	404.7316838
202_F2	S202	2	1.772680826000002	0	516.9570915589093
202_F3	S202	3	1.766124266000002	0.018382475356965165	1214.6937758450501
